Symbol,endpoint
DEFIUSDT,fapi
ADAUSDT,fapi
BNBUSDT,fapi
DOTUSDT,fapi
XRPUSDT,fapi
DOTUSD_PERP,dapi
LTCUSDT,fapi
LINKUSDT,fapi
UNIUSDT,fapi
SXPUSDT,fapi
FILUSDT,fapi
TRXUSDT,fapi
BNBUSD_PERP,dapi
EOSUSDT,fapi
XLMUSDT,fapi
SUSHIUSDT,fapi
BCHUSDT,fapi
ADAUSD_PERP,dapi
AAVEUSDT,fapi
XTZUSDT,fapi
LINKUSD_PERP,dapi
LTCUSD_PERP,dapi
AVAXUSDT,fapi
ATOMUSDT,fapi
YFIUSDT,fapi
FTMUSDT,fapi
GRTUSDT,fapi
ENJUSDT,fapi
MATICUSDT,fapi
DOGEUSDT,fapi
CRVUSDT,fapi
THETAUSDT,fapi
SOLUSDT,fapi
1INCHUSDT,fapi
VETUSDT,fapi
ALGOUSDT,fapi
ETCUSDT,fapi
XRPUSD_PERP,dapi
EGLDUSD_PERP,dapi
NEOUSDT,fapi
ALPHAUSDT,fapi
IOTAUSDT,fapi
KSMUSDT,fapi
FILUSD_PERP,dapi
ONTUSDT,fapi
BCHUSD_PERP,dapi
XMRUSDT,fapi
RSRUSDT,fapi
EGLDUSDT,fapi
BANDUSDT,fapi
SKLUSDT,fapi
KAVAUSDT,fapi
BATUSDT,fapi
SRMUSDT,fapi
DASHUSDT,fapi
ZECUSDT,fapi
ZILUSDT,fapi
SNXUSDT,fapi
EOSUSD_PERP,dapi
AXSUSDT,fapi
IOSTUSDT,fapi
OMGUSDT,fapi
RUNEUSDT,fapi
COMPUSDT,fapi
NEARUSDT,fapi
ZRXUSDT,fapi
BALUSDT,fapi
OCEANUSDT,fapi
YFIIUSDT,fapi
RENUSDT,fapi
ICXUSDT,fapi
TRXUSD_PERP,dapi
QTUMUSDT,fapi
BLZUSDT,fapi
BZRXUSDT,fapi
FLMUSDT,fapi
LRCUSDT,fapi
TOMOUSDT,fapi
KNCUSDT,fapi
MKRUSDT,fapi
BELUSDT,fapi
TRBUSDT,fapi
HNTUSDT,fapi
WAVESUSDT,fapi
ETCUSD_PERP,dapi
STORJUSDT,fapi
CTKUSDT,fapi
CVCUSDT,fapi
RLCUSDT,fapi
ZENUSDT,fapi
CHZUSDT,fapi
SFPUSDT,fapi
ANKRUSDT,fapi
REEFUSDT,fapi
AKROUSDT,fapi
ALICEUSDT,fapi
CHRUSDT,fapi
COTIUSDT,fapi
RVNUSDT,fapi
BTSUSDT,fapi
MANAUSDT,fapi
LITUSDT,fapi
XEMUSDT,fapi
DODOUSDT,fapi
DOGEUSD_PERP,dapi
UNFIUSDT,fapi
LINAUSDT,fapi
ONEUSDT,fapi
LUNAUSDT,fapi
HBARUSDT,fapi
SANDUSDT,fapi